Name Chr Start End EXcortical_polydT_0 EXcortical_randomhexamer_0 INHmidbrain_polydT_0 INHmidbrain_randomhexamer_0
chr3:80596659-80597711 chr3 80596659 80597711 13.241702983573589 13.99597720415689 8.65533230293663 5.564142194744977
chr3:80596659-80598627 chr3 80596659 80598627 12.57123700972176 15.253100905129068 3.7094281298299854 12.982998454404944
chr3:80597760-80598675 chr3 80597760 80598675 0.08380824673147838 0.0 0.0 0.0
chr3:80597783-80598699 chr3 80597783 80598699 0.0 0.0 0.0 0.3091190108191654
chr3:80597806-80598627 chr3 80597806 80598627 0.0 0.2514247401944351 0.0 0.0
chr3:80597826-80598627 chr3 80597826 80598627 3.4361381159906133 0.8380824673147836 0.9273570324574961 0.0
chr3:80597826-80599512 chr3 80597826 80599512 0.0 0.08380824673147838 0.0 0.0
chr3:80597826-80599592 chr3 80597826 80599592 7.0398927254441785 3.1009051290646994 5.873261205564142 4.01854714064915
chr3:80598198-80598729 chr3 80598198 80598729 0.08380824673147838 0.0 0.0 0.0
chr3:80598222-80598472 chr3 80598222 80598472 0.0 0.08380824673147838 0.0 0.0
chr3:80598391-80598465 chr3 80598391 80598465 0.0 0.08380824673147838 0.0 0.0
chr3:80598538-80598578 chr3 80598538 80598578 0.0 0.08380824673147838 0.0 0.0
chr3:80598596-80598894 chr3 80598596 80598894 0.0 0.08380824673147838 0.0 0.0
chr3:80598742-80599010 chr3 80598742 80599010 0.3352329869259135 0.0 0.0 0.0
chr3:80598742-80599512 chr3 80598742 80599512 0.08380824673147838 0.16761649346295676 0.0 0.0
chr3:80598742-80599592 chr3 80598742 80599592 26.231981226952733 6.620851491786791 13.91035548686244 4.63678516228748
chr3:80598868-80598903 chr3 80598868 80598903 0.08380824673147838 0.0 0.0 0.0
chr3:80598879-80599296 chr3 80598879 80599296 0.08380824673147838 0.0 0.0 0.0
chr3:80599051-80599592 chr3 80599051 80599592 0.5028494803888702 0.0 0.3091190108191654 0.0
chr3:80599543-80599611 chr3 80599543 80599611 0.16761649346295676 0.0 0.0 0.0
